,Property_name,xirr,flag,first_sale_price,second_sale_price,time,first_sale_date,second_sale_date,year_built,lat,long
0,Mission Creek_1987_200_32.1762036_-110.99423_0,0.31614306587092333,Evenly Increase,12000000.0,28500000.0,3.6136986301369864,2018/8/20,2022/4/1,1987,32.1762036,-110.99423
1,Paseo Del Sol_1994_152_32.1396088_-110.9468768_0,0.39280070584774235,Inflate/Deflate with CPI,12500000.0,33650000.0,3.356164383561644,2018/11/1,2022/3/11,1994,32.1396088,-110.9468768
2,Los Portales Apartments_1987_416_32.2105899_-110.8307962_0,0.33418465156179433,Inflate/Deflate with CPI,26025000.0,40000000.0,1.6164383561643836,2018/4/11,2019/11/22,1987,32.2105899,-110.8307962
3,Aventura_1985_239_32.273331_-111.001528_0,0.12691226651340903,Inflate/Deflate with CPI,11250000.0,37500000.0,15.167123287671233,2006/10/31,2021/12/31,1985,32.273331,-111.001528
4,Las Brisas_1983_249_32.2534719_-110.9637663_0,0.1294188384984525,Inflate/Deflate with CPI,10640000.0,36700000.0,15.167123287671233,2006/10/31,2021/12/31,1983,32.2534719,-110.9637663
5,Fountain Village_1972_410_32.204022_-110.838636_0,0.18708830788621192,Evenly Increase,15500000.0,20500000.0,2.241095890410959,2004/10/31,2007/1/27,1972,32.204022,-110.838636
6,Fountain Village_1972_410_32.204022_-110.838636_2,0.13201390758994805,Inflate/Deflate with CPI,11800000.0,16200000.0,5.663934426229508,2011/4/13,2016/12/12,1972,32.204022,-110.838636
7,Fountain Village_1972_410_32.204022_-110.838636_3,0.3501393158209469,Inflate/Deflate with CPI,16200000.0,36700000.0,3.7540983606557377,2016/12/12,2020/1/14,1972,32.204022,-110.838636
8,Fountain Village_1972_410_32.204022_-110.838636_4,0.38660667989558234,Inflate/Deflate with CPI,36700000.0,65500000.0,2.0490680440152707,2020/1/14,2021/12/29,1972,32.204022,-110.838636
9,Sterling University Villa_2001_140_32.2514111_-111.02187_0,0.03854295792603917,Inflate/Deflate with CPI,18650000.0,17450000.0,11.378082191780821,2006/12/28,2018/5/15,2001,32.2514111,-111.02187
10,Sterling University Villa_2001_140_32.2514111_-111.02187_1,0.1837576894621984,Inflate/Deflate with CPI,17450000.0,27850000.0,3.96986301369863,2018/5/15,2021/12/17,2001,32.2514111,-111.02187
11,Saddle Ridge Apartments_1985_248_32.3538689_-110.9766872_0,0.3750116412884498,Inflate/Deflate with CPI,26000000.0,50000000.0,2.241095890410959,2019/9/17,2021/12/14,1985,32.3538689,-110.9766872
12,Casa Del Coronado Apartments_1983_208_32.2610864_-110.9745484_0,0.38739782700077247,Inflate/Deflate with CPI,11200000.0,27500000.0,2.978082191780822,2018/11/30,2021/11/22,1983,32.2610864,-110.9745484
13,Lakeside Village_1983_310_32.1915811_-110.8162326_0,0.1195056455997349,Inflate/Deflate with CPI,19500000.0,24000000.0,3.8876712328767122,2006/9/30,2010/8/20,1983,32.1915811,-110.8162326
